Model,Split Seed,Shuffle Seed,Max Depth,Accuracy_train,F1 Score_train,Precision_train,Recall_Train
86,42,86,3,0.8554216867469879,0.8532920901458241,0.8857142857142857,0.8588235294117648
87,42,87,3,0.8493975903614458,0.8484682513601344,0.8634453781512605,0.8517792302106028
88,42,88,3,0.9337349397590361,0.9337325349301397,0.9347383720930232,0.9344226579520697
89,42,89,4,0.8795180722891566,0.8783882783882784,0.900990099009901,0.8823529411764706
90,42,90,3,0.8554216867469879,0.8546621917408435,0.8591839740757108,0.8541757443718228
91,42,91,3,0.927710843373494,0.9276688453159041,0.9276688453159041,0.9276688453159041
92,42,92,2,0.8072289156626506,0.8069767441860465,0.8112820512820513,0.8085693536673928
93,42,93,4,0.9518072289156626,0.9518002322880371,0.9518072289156627,0.9520697167755992
94,42,94,4,0.9156626506024096,0.9146592244418331,0.9292929292929293,0.9135802469135803
95,42,95,4,0.963855421686747,0.9638501742160279,0.9655172413793103,0.9647058823529412
96,42,96,3,0.8313253012048193,0.8312273057371096,0.833941339559317,0.8323892519970951
97,42,97,3,0.9096385542168675,0.9090809508160806,0.9153368794326242,0.9082788671023965
98,42,98,2,0.8012048192771084,0.8008506925509871,0.8061104582843713,0.8026870007262163
99,42,99,3,0.8734939759036144,0.8734893848666303,0.8736933797909407,0.8738562091503268
100,42,100,4,0.9698795180722891,0.9698784249682454,0.9709302325581395,0.9705882352941176
101,42,101,3,0.8493975903614458,0.8493921248412266,0.8495934959349594,0.8497458242556282
102,42,102,5,0.963855421686747,0.9637237762237763,0.967032967032967,0.962962962962963
103,42,103,2,0.7891566265060241,0.7857274571270514,0.8022365196078431,0.786564996368918
104,42,104,4,0.9096385542168675,0.9092400218698744,0.9131903642773208,0.9085693536673929
105,42,105,4,0.9578313253012049,0.9578297949555434,0.9580429732868757,0.958242556281772
106,42,106,6,0.963855421686747,0.9637237762237763,0.967032967032967,0.962962962962963
107,42,107,3,0.8674698795180723,0.8673928830791575,0.8673928830791575,0.8673928830791575
108,42,108,2,0.7048192771084337,0.704293452575708,0.7085781433607521,0.7062454611474219
109,42,109,4,0.9578313253012049,0.9578175481903656,0.9577526132404182,0.9579520697167756
110,42,110,5,0.9518072289156626,0.9517792302106027,0.9550561797752809,0.9529411764705882
111,42,111,2,0.8433734939759037,0.8431686046511626,0.8435908627964499,0.8429920116194626
112,42,112,5,0.9216867469879518,0.9216156332861138,0.9218023255813954,0.9214960058097312
113,42,113,4,0.9578313253012049,0.9578175481903656,0.9602272727272727,0.9588235294117646
114,42,114,2,0.8012048192771084,0.8011398700402947,0.803030303030303,0.8021060275962236
115,42,115,4,0.9759036144578314,0.9758475192783356,0.9775280898876404,0.9753086419753086
116,42,116,2,0.7650602409638554,0.7649834827748938,0.7649535423925669,0.7650689905591865
117,42,117,4,0.9457831325301205,0.9456865525139055,0.9466783216783217,0.9453159041394336
118,42,118,2,0.8072289156626506,0.8065268065268065,0.8089377289377289,0.8062454611474219
119,42,119,4,0.9337349397590361,0.9336168975169956,0.934586247086247,0.9332607116920841
120,42,120,4,0.9457831325301205,0.9457654191018985,0.9481351981351982,0.9467683369644153
121,42,121,3,0.9096385542168675,0.9096090318364976,0.9095528455284553,0.9097312999273783
122,42,122,2,0.7530120481927711,0.7525720725633476,0.7573443008225617,0.7544662309368191
123,42,123,3,0.9036144578313253,0.9034883720930231,0.9039720646006111,0.903267973856209
124,42,124,4,0.9819277108433735,0.9819270549809471,0.9821428571428572,0.9823529411764707
125,42,125,2,0.8253012048192772,0.8234495910807936,0.8340336134453781,0.8233115468409586
126,42,126,6,1.0,1.0,1.0,1.0
127,42,127,5,1.0,1.0,1.0,1.0
128,42,128,3,0.8975903614457831,0.8972884440400364,0.906323877068558,0.8994190268700073
129,42,129,3,0.9156626506024096,0.9156136528685548,0.9187217277104918,0.9167755991285402
130,42,130,5,1.0,1.0,1.0,1.0
131,42,131,2,0.8493975903614458,0.8493483863941627,0.8493031358885017,0.8494553376906318
132,42,132,4,0.9698795180722891,0.9698784249682454,0.9709302325581395,0.9705882352941176
133,42,133,2,0.7710843373493976,0.7683607520564042,0.7791346298808985,0.7689179375453885
134,42,134,4,0.9397590361445783,0.939327485380117,0.9473684210526316,0.9382716049382716
135,42,135,5,0.9397590361445783,0.9397240377632534,0.9397240377632534,0.9397240377632534
136,42,136,5,1.0,1.0,1.0,1.0
137,42,137,5,1.0,1.0,1.0,1.0
138,42,138,5,0.9216867469879518,0.9214558689717924,0.9308510638297872,0.9235294117647059
139,42,139,3,0.9216867469879518,0.9216839049174379,0.9218931475029035,0.9220769789397241
140,42,140,3,0.8674698795180723,0.8671613560308453,0.868524733693273,0.8668119099491649
141,42,141,2,0.8012048192771084,0.8008506925509871,0.8061104582843713,0.8026870007262163
142,42,142,4,0.9096385542168675,0.909635274904736,0.9098432055749129,0.9100217864923748
143,42,143,4,0.9819277108433735,0.9818955175046352,0.9829545454545454,0.9814814814814814
144,42,144,3,0.8795180722891566,0.8792375963916776,0.8865812343496833,0.8811909949164851
145,42,145,2,0.8253012048192772,0.8249900025448067,0.8257575757575758,0.8247639796659405
146,42,146,2,0.8795180722891566,0.8777434084548534,0.8955064737242955,0.8771241830065359
147,42,147,5,0.9397590361445783,0.9397502903600463,0.9397590361445782,0.9400145243282498
148,42,148,2,0.7951807228915663,0.7944347319347319,0.7967765567765568,0.7941902687000726
149,42,149,3,0.9036144578313253,0.9031081278272289,0.9080866106937693,0.90239651416122
150,42,150,3,0.9337349397590361,0.9337325349301397,0.9347383720930232,0.9344226579520697
151,42,151,3,0.8493975903614458,0.8492608332425267,0.8529239766081871,0.8506172839506173
152,42,152,5,1.0,1.0,1.0,1.0
153,42,153,3,0.8734939759036144,0.8733790999237223,0.8771929824561404,0.8747276688453158
154,42,154,5,0.9759036144578314,0.9759036144578312,0.9764705882352941,0.9764705882352941
155,42,155,3,0.8313253012048193,0.8313008130081302,0.8326785974101557,0.8320987654320988
156,42,156,3,0.8554216867469879,0.8548951048951049,0.8647887323943662,0.8573710965867829
157,42,157,2,0.7951807228915663,0.7950617283950618,0.7950617283950617,0.7950617283950617
158,42,158,3,0.8614457831325302,0.8611989675355364,0.8620337995337995,0.8609295570079883
159,42,159,2,0.8313253012048193,0.8313008130081301,0.8313253012048193,0.831517792302106
